,nfe,improvements
0,100,15
1,200,18
2,300,22
3,400,28
4,500,32
5,600,40
6,700,46
7,800,54
8,900,61
9,1000,69
10,1100,79
11,1200,89
12,1300,99
13,1400,108
14,1500,116
15,1600,124
16,1700,139
17,1800,149
18,1900,161
19,2000,175
20,2100,190
21,2200,201
22,2300,213
23,2400,225
24,2500,241
25,2600,253
26,2700,265
27,2800,274
28,2900,281
29,3000,291
30,3100,300
31,3200,307
32,3300,318
33,3400,327
34,3500,335
35,3600,344
36,3700,350
37,3800,361
38,3900,371
39,4000,381
40,4100,389
41,4200,393
42,4300,402
43,4400,406
44,4500,412
45,4600,421
46,4700,421
47,4800,425
48,4900,429
49,5000,432
50,5100,438
51,5200,443
52,5300,445
53,5400,447
54,5500,449
55,5600,452
56,5700,456
57,5800,458
58,5900,462
59,6000,468
60,6100,473
61,6200,475
62,6300,481
63,6400,483
64,6500,487
65,6600,493
66,6700,494
67,6800,499
68,6900,503
69,7000,504
70,7100,506
71,7200,510
72,7300,510
73,7400,512
74,7500,513
75,7600,516
76,7700,517
77,7800,521
78,7900,524
79,8000,530
80,8100,532
81,8200,532
82,8300,534
83,8400,535
84,8500,535
85,8600,535
86,8700,535
87,8800,535
88,8900,536
89,9000,536
90,9100,536
91,9200,537
92,9300,537
93,9400,538
94,9500,540
95,9600,540
96,9700,541
97,9800,542
98,9900,542
99,10000,544
100,10100,545
101,10200,546
102,10300,546
103,10400,547
104,10500,548
105,10600,549
106,10700,549
107,10800,549
108,10900,549
109,11000,549
110,11100,549
111,11200,549
112,11300,550
113,11400,550
114,11500,550
115,11600,550
116,11700,550
117,11800,551
118,11900,553
119,12000,554
120,12100,554
121,12200,555
122,12300,555
123,12400,557
124,12500,557
125,12600,557
126,12700,558
127,12800,558
128,12900,558
129,13000,558
130,13100,559
131,13200,560
132,13300,561
133,13400,562
134,13500,562
135,13600,563
136,13700,563
137,13800,563
138,13900,563
139,14000,563
140,14100,564
141,14200,564
142,14300,564
143,14400,565
144,14500,565
145,14600,565
146,14700,565
147,14800,566
148,14900,567
149,15000,567
150,15100,568
151,15200,568
152,15300,568
153,15400,569
154,15500,570
155,15600,570
156,15700,571
157,15800,571
158,15900,571
159,16000,571
160,16100,571
161,16200,572
162,16300,573
163,16400,573
164,16500,573
165,16600,573
166,16700,573
167,16800,574
168,16900,575
169,17000,575
170,17100,576
171,17200,577
172,17300,577
173,17400,578
174,17500,579
175,17600,579
176,17700,580
177,17800,581
178,17900,581
179,18000,582
180,18100,583
181,18200,583
182,18300,584
183,18400,584
184,18500,584
185,18600,584
186,18700,584
187,18800,584
188,18900,585
189,19000,585
190,19100,586
191,19200,586
192,19300,586
193,19400,587
194,19500,587
195,19600,587
196,19700,587
197,19800,588
198,19900,588
199,20000,588
200,20100,589
201,20200,589
202,20300,589
203,20400,589
204,20500,589
205,20600,589
206,20700,589
207,20800,589
208,20900,589
209,21000,589
210,21100,589
211,21200,589
212,21300,589
213,21400,589
214,21500,589
215,21600,589
216,21700,589
217,21800,589
218,21900,589
219,22000,589
220,22100,589
221,22200,590
222,22300,590
223,22400,590
224,22500,590
225,22600,590
226,22700,590
227,22800,590
228,22900,590
229,23000,590
230,23100,590
231,23200,590
232,23300,590
233,23400,590
234,23500,590
235,23600,590
236,23700,590
237,23800,590
238,23900,590
239,24000,590
240,24100,591
241,24200,592
242,24300,592
243,24400,592
244,24500,592
245,24600,592
246,24700,592
247,24800,592
248,24900,592
249,25000,592
250,25100,592
251,25200,593
252,25300,594
253,25400,594
254,25500,594
255,25600,594
256,25700,594
257,25800,594
258,25900,594
259,26000,594
260,26100,594
261,26200,594
262,26300,594
263,26400,594
264,26500,594
265,26600,594
266,26700,595
267,26800,595
268,26900,595
269,27000,596
270,27100,596
271,27200,596
272,27300,596
273,27400,596
274,27500,597
275,27600,597
276,27700,597
277,27800,597
278,27900,597
279,28000,597
280,28100,597
281,28200,597
282,28300,597
283,28400,597
284,28500,597
285,28600,597
286,28700,597
287,28800,597
288,28900,597
289,29000,597
290,29100,597
291,29200,597
292,29300,597
293,29400,597
294,29500,597
295,29600,597
296,29700,597
297,29800,597
