,nfe,improvements
0,100,27
1,200,34
2,300,42
3,400,55
4,500,66
5,600,74
6,700,86
7,800,95
8,900,103
9,1000,112
10,1100,125
11,1200,141
12,1300,152
13,1400,167
14,1500,183
15,1600,199
16,1700,217
17,1800,230
18,1900,246
19,2000,264
20,2100,284
21,2200,301
22,2300,327
23,2400,343
24,2500,358
25,2600,376
26,2700,398
27,2800,415
28,2900,421
29,3000,436
30,3100,456
31,3200,475
32,3300,500
33,3400,525
34,3500,548
35,3600,568
36,3700,587
37,3800,602
38,3900,615
39,4000,630
40,4100,651
41,4200,669
42,4300,683
43,4400,704
44,4500,725
45,4600,742
46,4700,766
47,4800,790
48,4900,803
49,5000,821
50,5100,832
51,5200,848
52,5300,862
53,5400,882
54,5500,896
55,5600,909
56,5700,926
57,5800,942
58,5900,955
59,6000,970
60,6100,984
61,6200,996
62,6300,1012
63,6400,1028
64,6500,1041
65,6600,1045
66,6700,1060
67,6800,1071
68,6900,1080
69,7000,1088
70,7100,1095
71,7200,1110
72,7300,1125
73,7400,1139
74,7500,1151
75,7600,1168
76,7700,1185
77,7800,1198
78,7900,1211
79,8000,1218
80,8100,1229
81,8200,1239
82,8300,1251
83,8400,1261
84,8500,1266
85,8600,1270
86,8700,1278
87,8800,1289
88,8900,1300
89,9000,1316
90,9100,1322
91,9200,1331
92,9300,1337
93,9400,1344
94,9500,1349
95,9600,1356
96,9700,1366
97,9800,1370
98,9900,1379
99,10321,1384
100,10749,1398
101,11177,1434
102,11605,1464
103,12033,1504
104,12461,1540
105,12889,1576
106,13317,1610
107,13745,1635
108,14173,1680
109,14601,1710
110,15029,1745
111,15457,1783
112,15885,1806
113,16313,1833
114,16741,1866
115,17169,1893
116,17597,1916
117,18025,1935
118,18453,1961
119,18881,1982
120,19309,2002
121,19737,2020
122,20165,2042
123,20593,2062
124,21021,2084
125,21449,2104
126,21877,2122
127,22305,2144
128,22733,2162
129,23161,2185
130,23589,2207
131,24017,2223
132,24445,2243
133,24873,2260
134,25301,2271
135,25729,2284
136,26157,2292
137,26585,2302
138,27013,2315
139,27441,2329
140,27869,2347
141,28297,2356
142,28725,2364
143,29153,2374
144,29581,2384
145,30009,2394
146,30437,2404
147,30865,2418
148,31293,2430
149,31721,2440
150,32149,2455
151,32577,2465
152,33005,2472
153,33433,2479
154,33861,2488
155,34289,2500
156,34717,2509
157,35145,2516
158,35573,2526
159,36001,2536
160,36429,2543
161,36857,2548
162,37285,2557
163,37713,2568
164,38141,2579
165,38569,2589
166,38997,2596
167,39425,2601
168,39853,2606
169,40281,2615
170,40709,2621
171,41137,2627
172,41565,2633
173,41993,2638
174,42421,2644
175,42849,2655
176,43277,2661
177,43705,2665
178,44133,2673
179,44561,2680
180,44989,2686
181,45417,2695
182,45845,2705
183,46273,2709
184,46701,2718
185,47129,2725
186,47557,2731
187,47985,2739
188,48413,2743
189,48841,2752
190,49269,2759
191,49697,2765
192,50125,2774
