,nfe,improvements
0,100,19
1,200,25
2,300,34
3,400,39
4,500,46
5,600,53
6,700,61
7,800,67
8,900,79
9,1000,89
10,1100,99
11,1200,114
12,1300,127
13,1400,142
14,1500,164
15,1600,192
16,1700,217
17,1800,243
18,1900,263
19,2000,291
20,2100,320
21,2200,349
22,2300,372
23,2400,393
24,2500,417
25,2600,447
26,2700,472
27,2800,492
28,2900,516
29,3000,545
30,3100,576
31,3200,599
32,3300,618
33,3400,644
34,3500,664
35,3600,692
36,3700,714
37,3800,737
38,3900,775
39,4000,800
40,4100,828
41,4200,855
42,4300,879
43,4400,904
44,4500,936
45,4600,972
46,4700,1007
47,4800,1028
48,4900,1053
49,5000,1083
50,5100,1114
51,5200,1138
52,5300,1163
53,5400,1199
54,5500,1222
55,5600,1251
56,5700,1270
57,5800,1306
58,5900,1333
59,6000,1363
60,6100,1390
61,6200,1415
62,6300,1437
63,6400,1462
64,6500,1486
65,6600,1517
66,6700,1539
67,6800,1568
68,6900,1592
69,7000,1615
70,7100,1635
71,7200,1658
72,7300,1677
73,7400,1696
74,7500,1719
75,7600,1745
76,7700,1767
77,7800,1788
78,7900,1809
79,8000,1831
80,8100,1853
81,8200,1873
82,8300,1892
83,8400,1914
84,8500,1934
85,8600,1956
86,8700,1970
87,8800,1994
88,8900,2004
89,9000,2018
90,9100,2036
91,9200,2050
92,9300,2066
93,9400,2076
94,9500,2083
95,9600,2099
96,9700,2111
97,9800,2125
98,9900,2133
99,10249,2143
100,10581,2154
101,10913,2165
102,11245,2191
103,11577,2219
104,11909,2250
105,12241,2269
106,12573,2296
107,12905,2315
108,13237,2347
109,13569,2364
110,13901,2385
111,14233,2405
112,14565,2431
113,14897,2459
114,15229,2487
115,15561,2505
116,15893,2527
117,16225,2551
118,16557,2574
119,16889,2594
120,17221,2617
121,17553,2637
122,17885,2654
123,18217,2669
124,18549,2684
125,18881,2700
126,19213,2715
127,19545,2725
128,19877,2738
129,20209,2744
130,20541,2757
131,20873,2768
132,21205,2778
133,21537,2787
134,21869,2796
135,22201,2802
136,22533,2811
137,22865,2821
138,23197,2824
139,23529,2832
140,23861,2835
141,24193,2843
142,24525,2848
143,24857,2853
144,25189,2859
145,25521,2866
146,25853,2869
147,26185,2875
148,26517,2878
149,26849,2880
150,27181,2887
151,27513,2891
152,27845,2896
153,28177,2898
154,28509,2900
155,28841,2905
156,29173,2907
157,29505,2911
158,29837,2915
159,30169,2917
160,30501,2923
161,30833,2932
162,31165,2936
163,31497,2943
164,31829,2948
165,32161,2952
166,32493,2953
167,32825,2959
168,33157,2963
169,33489,2966
170,33821,2971
171,34153,2974
172,34485,2980
173,34817,2983
174,35149,2989
175,35481,2994
176,35813,3000
177,36145,3002
178,36477,3009
179,36809,3017
180,37141,3023
181,37473,3028
182,37805,3033
183,38137,3034
184,38469,3035
185,38801,3038
186,39133,3043
187,39465,3048
188,39797,3052
189,40129,3053
190,40461,3053
191,40793,3056
192,41125,3059
193,41457,3063
194,41789,3065
195,42121,3073
196,42453,3078
197,42785,3083
198,43117,3089
199,43581,3095
200,43757,3101
201,43933,3108
202,44109,3114
203,44285,3122
204,44461,3134
205,44637,3144
206,44813,3151
207,44989,3160
208,45165,3165
209,45341,3165
210,45517,3167
211,45693,3168
212,45869,3172
213,46045,3174
214,46221,3178
215,46397,3179
216,46573,3181
217,46749,3185
218,46925,3185
219,47101,3187
220,47277,3188
221,47453,3189
222,47629,3191
223,47805,3192
224,47981,3192
225,48157,3193
226,48333,3194
227,48509,3194
228,48685,3194
229,48861,3194
230,49037,3194
231,49213,3194
232,49389,3195
233,49565,3196
234,49741,3196
235,49917,3196
236,50093,3197
