,nfe,improvements
0,100,25
1,200,31
2,300,36
3,400,42
4,500,48
5,600,56
6,700,71
7,800,77
8,900,85
9,1000,91
10,1100,100
11,1200,108
12,1300,118
13,1400,135
14,1500,150
15,1600,164
16,1700,182
17,1800,193
18,1900,205
19,2000,215
20,2100,228
21,2200,243
22,2300,261
23,2400,272
24,2500,283
25,2600,302
26,2700,316
27,2800,335
28,2900,355
29,3000,372
30,3100,399
31,3200,417
32,3300,433
33,3400,450
34,3500,474
35,3600,491
36,3700,510
37,3800,532
38,3900,553
39,4000,580
40,4100,605
41,4200,633
42,4300,655
43,4400,676
44,4500,697
45,4600,729
46,4700,751
47,4800,776
48,4900,798
49,5000,826
50,5100,849
51,5200,868
52,5300,894
53,5400,919
54,5500,931
55,5600,948
56,5700,960
57,5800,975
58,5900,988
59,6000,1001
60,6100,1012
61,6200,1024
62,6300,1036
63,6400,1048
64,6500,1053
65,6600,1061
66,6700,1068
67,6800,1081
68,6900,1087
69,7000,1094
70,7100,1102
71,7200,1109
72,7300,1117
73,7400,1124
74,7500,1130
75,7600,1136
76,7700,1146
77,7800,1152
78,7900,1155
79,8000,1161
80,8100,1168
81,8200,1172
82,8300,1174
83,8400,1178
84,8500,1181
85,8600,1186
86,8700,1188
87,8800,1190
88,8900,1192
89,9000,1195
90,9100,1196
91,9200,1199
92,9300,1201
93,9400,1205
94,9500,1210
95,9600,1213
96,9700,1214
97,9800,1216
98,9900,1219
99,10372,1222
100,10868,1242
101,11364,1265
102,11860,1295
103,12356,1335
104,12852,1376
105,13348,1416
106,13844,1458
107,14340,1504
108,14836,1534
109,15332,1571
110,15828,1617
111,16324,1649
112,16820,1682
113,17316,1725
114,17812,1755
115,18308,1793
116,18804,1840
117,19300,1879
118,19796,1928
119,20292,1968
120,20788,2005
121,21284,2056
122,21780,2104
123,22276,2156
124,22772,2211
125,23268,2269
126,23764,2329
127,24260,2386
128,24756,2442
129,25252,2499
130,25748,2580
131,26244,2663
132,26740,2734
133,27236,2810
134,27732,2878
135,28228,2948
136,28724,3018
137,29220,3087
138,29716,3168
139,30212,3243
140,30708,3324
141,31204,3415
142,31700,3484
143,32196,3557
144,32692,3627
145,33188,3701
146,33684,3781
147,34180,3849
148,34676,3922
149,35172,3997
150,35668,4067
151,36164,4134
152,36660,4204
153,37156,4266
154,37652,4314
155,38148,4382
156,38644,4455
157,39140,4523
158,39636,4576
159,40132,4633
160,40628,4691
161,41124,4753
162,41620,4801
163,42116,4850
164,42612,4902
165,43108,4958
166,43604,5016
167,44100,5067
168,44596,5113
169,45092,5152
170,45588,5205
171,46084,5255
172,46580,5311
173,47076,5362
174,47572,5406
175,48068,5451
176,48564,5492
177,49060,5544
178,49556,5590
179,50052,5639
