hydropower_Ak,irrigation,environment,flood_control,hydropower_Kp,Name
4344.400647,0.329737048,0.602649007,0,861.6590526,Other solutions
4348.438854,0.328925298,0.602649007,0,860.1163256,Other solutions
4357.570246,0.835493934,0.602649007,0,853.4897577,Other solutions
4352.217819,0.554756058,0.602649007,0,857.7570361,Other solutions
4365.82163,0.883889328,0.602649007,0,852.5830795,Other solutions
4347.664059,0.294839207,0.602649007,0,862.7660156,Other solutions
4327.442765,0.547196632,0.61589404,0,852.4621491,Other solutions
4326.167031,0.552019757,0.61589404,0,852.0402883,Other solutions
4331.267561,0.291514345,0.61589404,0,859.9368261,Other solutions
4319.603941,0.839419023,0.61589404,0,845.7066243,Other solutions
4333.177904,0.723672152,0.61589404,0,851.1703339,Other solutions
4301.39194,0.604783213,0.622516556,0,846.2920403,Other solutions
4312.658104,0.201948504,0.622516556,0,855.6482341,Other solutions
4328.794603,0.375841484,0.622516556,0,855.3646078,Other solutions
4304.927509,0.585945582,0.622516556,0,848.037875,Other solutions
4302.266318,0.730760563,0.622516556,0,844.8100529,Other solutions
4325.209956,0.899527575,0.629139073,0,844.3971024,Other solutions
4323.041784,0.914634318,0.629139073,0,843.6397023,Other solutions
4280.384101,0.292223776,0.635761589,0,849.6588238,Other solutions
4265.206568,0.33246047,0.635761589,0,845.9452344,Other solutions
4311.192991,0.900008101,0.635761589,0,841.5202192,Other solutions
4287.35051,0.601273652,0.635761589,0,843.2336916,Other solutions
4295.158861,0.060183263,0.635761589,0,853.3023872,Other solutions
4244.03375,0.332707799,0.642384106,0,841.7494855,Other solutions
4259.598222,0.542241979,0.642384106,0,840.0371884,Other solutions
4257.771629,0.252147567,0.642384106,0,845.6794823,Other solutions
4279.02214,0.070118624,0.642384106,0,850.0491371,Other solutions
4263.688561,0.186694745,0.642384106,0,846.9050543,Other solutions
4281.90844,0.804497872,0.642384106,0,839.5263641,Other solutions
4261.922314,0.238455867,0.642384106,0,846.3873078,Other solutions
4290.420023,0.896668648,0.642384106,0,837.2793355,Other solutions
4275.139075,0.90350254,0.649006623,0,834.2370155,Other solutions
4221.856692,0.516982946,0.655629139,0,833.411682,Other solutions
