,nfe,improvements
0,100,27
1,200,41
2,300,49
3,400,57
4,500,64
5,600,72
6,700,86
7,800,98
8,900,108
9,1000,124
10,1100,140
11,1200,153
12,1300,172
13,1400,192
14,1500,212
15,1600,223
16,1700,240
17,1800,262
18,1900,277
19,2000,299
20,2100,321
21,2200,341
22,2300,360
23,2400,385
24,2500,402
25,2600,419
26,2700,439
27,2800,454
28,2900,472
29,3000,495
30,3100,513
31,3200,531
32,3300,547
33,3400,563
34,3500,579
35,3600,598
36,3700,613
37,3800,632
38,3900,650
39,4000,665
40,4100,683
41,4200,696
42,4300,709
43,4400,716
44,4500,729
45,4600,748
46,4700,764
47,4800,775
48,4900,788
49,5000,803
50,5100,810
51,5200,820
52,5300,834
53,5400,844
54,5500,851
55,5600,862
56,5700,880
57,5800,886
58,5900,902
59,6000,913
60,6100,923
61,6200,937
62,6300,951
63,6400,972
64,6500,987
65,6600,998
66,6700,1014
67,6800,1026
68,6900,1043
69,7000,1059
70,7100,1078
71,7200,1101
72,7300,1117
73,7400,1130
74,7500,1147
75,7600,1168
76,7700,1192
77,7800,1212
78,7900,1235
79,8000,1254
80,8100,1279
81,8200,1302
82,8300,1325
83,8400,1344
84,8500,1367
85,8600,1387
86,8700,1402
87,8800,1421
88,8900,1440
89,9000,1458
90,9100,1472
91,9200,1481
92,9300,1497
93,9400,1512
94,9500,1524
95,9600,1536
96,9700,1546
97,9800,1556
98,9900,1570
99,10531,1585
100,11239,1618
101,11947,1656
102,12655,1719
103,13363,1781
104,14071,1848
105,14779,1924
106,15487,1988
107,16195,2077
108,16903,2161
109,17611,2245
110,18319,2329
111,19027,2429
112,19735,2515
113,20443,2607
114,21151,2680
115,21859,2759
116,22567,2847
117,23275,2913
118,23983,2991
119,24691,3064
120,25399,3132
121,26107,3211
122,26815,3275
123,27523,3349
124,28231,3403
125,28939,3464
126,29647,3513
127,30355,3577
128,31063,3642
129,31771,3697
130,32479,3748
131,33187,3808
132,33895,3854
133,34603,3925
134,35311,3978
135,36019,4043
136,36727,4099
137,37435,4140
138,38143,4198
139,38851,4254
140,39559,4303
141,40267,4361
142,40975,4411
143,41683,4463
144,42391,4511
145,43099,4567
146,43807,4607
147,44515,4656
148,45223,4707
149,45931,4740
150,46639,4772
151,47347,4813
152,48055,4854
153,48763,4893
154,49471,4941
155,50179,4987
