,nfe,improvements
0,100,25
1,200,35
2,300,46
3,400,61
4,500,71
5,600,85
6,700,98
7,800,110
8,900,124
9,1000,138
10,1100,153
11,1200,169
12,1300,189
13,1400,206
14,1500,221
15,1600,240
16,1700,257
17,1800,275
18,1900,281
19,2000,298
20,2100,312
21,2200,329
22,2300,348
23,2400,360
24,2500,373
25,2600,388
26,2700,407
27,2800,428
28,2900,442
29,3000,456
30,3100,473
31,3200,493
32,3300,507
33,3400,519
34,3500,542
35,3600,556
36,3700,570
37,3800,586
38,3900,598
39,4000,612
40,4100,628
41,4200,649
42,4300,669
43,4400,687
44,4500,704
45,4600,727
46,4700,739
47,4800,751
48,4900,769
49,5000,784
50,5100,805
51,5200,819
52,5300,832
53,5400,850
54,5500,870
55,5600,895
56,5700,916
57,5800,940
58,5900,961
59,6000,986
60,6100,1014
61,6200,1038
62,6300,1051
63,6400,1074
64,6500,1099
65,6600,1121
66,6700,1142
67,6800,1163
68,6900,1187
69,7000,1210
70,7100,1228
71,7200,1250
72,7300,1259
73,7400,1278
74,7500,1292
75,7600,1317
76,7700,1336
77,7800,1353
78,7900,1370
79,8000,1392
80,8100,1412
81,8200,1422
82,8300,1440
83,8400,1447
84,8500,1465
85,8600,1479
86,8700,1498
87,8800,1522
88,8900,1536
89,9000,1549
90,9100,1565
91,9200,1582
92,9300,1594
93,9400,1609
94,9500,1631
95,9600,1653
96,9700,1666
97,9800,1691
98,9900,1706
99,10468,1721
100,11092,1754
101,11716,1787
102,12340,1826
103,12964,1888
104,13588,1968
105,14212,2027
106,14836,2094
107,15460,2156
108,16084,2212
109,16708,2266
110,17332,2319
111,17956,2376
112,18580,2425
113,19204,2473
114,19828,2513
115,20452,2545
116,21076,2580
117,21700,2625
118,22324,2672
119,22948,2700
120,23572,2740
121,24196,2776
122,24820,2808
123,25444,2840
124,26068,2883
125,26692,2915
126,27316,2949
127,27940,2984
128,28564,3009
129,29188,3037
130,29812,3062
131,30436,3092
132,31060,3118
133,31684,3145
134,32308,3161
135,32932,3183
136,33556,3196
137,34180,3214
138,34804,3230
139,35428,3254
140,36052,3273
141,36676,3281
142,37300,3295
143,37924,3312
144,38548,3328
145,39172,3348
146,39796,3360
147,40420,3377
148,41044,3398
149,41668,3420
150,42292,3439
151,42916,3456
152,43540,3474
153,44164,3489
154,44788,3497
155,45412,3505
156,46036,3518
157,46660,3524
158,47284,3532
159,47908,3542
160,48532,3556
161,49156,3562
162,49780,3575
163,50404,3585
