,nfe,improvements
0,100,26
1,200,33
2,300,37
3,400,43
4,500,55
5,600,65
6,700,80
7,800,97
8,900,111
9,1000,125
10,1100,140
11,1200,154
12,1300,166
13,1400,178
14,1500,194
15,1600,203
16,1700,211
17,1800,228
18,1900,246
19,2000,265
20,2100,277
21,2200,287
22,2300,298
23,2400,311
24,2500,322
25,2600,327
26,2700,332
27,2800,347
28,2900,354
29,3000,364
30,3100,377
31,3200,387
32,3300,400
33,3400,414
34,3500,429
35,3600,443
36,3700,452
37,3800,473
38,3900,485
39,4000,503
40,4100,523
41,4200,543
42,4300,569
43,4400,594
44,4500,615
45,4600,634
46,4700,653
47,4800,665
48,4900,679
49,5000,697
50,5100,721
51,5200,737
52,5300,758
53,5400,782
54,5500,802
55,5600,824
56,5700,843
57,5800,855
58,5900,873
59,6000,894
60,6100,910
61,6200,930
62,6300,945
63,6400,965
64,6500,985
65,6600,1011
66,6700,1025
67,6800,1040
68,6900,1054
69,7000,1068
70,7100,1081
71,7200,1100
72,7300,1123
73,7400,1140
74,7500,1156
75,7600,1169
76,7700,1187
77,7800,1205
78,7900,1221
79,8000,1238
80,8100,1249
81,8200,1265
82,8300,1277
83,8400,1292
84,8500,1311
85,8600,1330
86,8700,1346
87,8800,1366
88,8900,1384
89,9000,1401
90,9100,1416
91,9200,1433
92,9300,1450
93,9400,1468
94,9500,1485
95,9600,1500
96,9700,1515
97,9800,1531
98,9900,1547
99,10468,1564
100,11092,1578
101,11716,1595
102,12340,1628
103,12964,1670
104,13588,1730
105,14212,1785
106,14836,1837
107,15460,1889
108,16084,1932
109,16708,1973
110,17332,2016
111,17956,2064
112,18580,2103
113,19204,2135
114,19828,2164
115,20452,2198
116,21076,2232
117,21700,2259
118,22324,2297
119,22948,2328
120,23572,2361
121,24196,2382
122,24820,2403
123,25444,2424
124,26068,2448
125,26692,2462
126,27316,2484
127,27940,2507
128,28564,2535
129,29188,2557
130,29812,2576
131,30436,2598
132,31060,2611
133,31684,2631
134,32308,2643
135,32932,2656
136,33556,2662
137,34180,2677
138,34804,2688
139,35428,2704
140,36052,2719
141,36676,2736
142,37300,2745
143,37924,2753
144,38548,2767
145,39172,2776
146,39796,2787
147,40420,2793
148,41044,2800
149,41668,2807
150,42292,2815
151,42916,2826
152,43540,2831
153,44164,2841
154,44788,2846
155,45412,2857
156,46036,2864
157,46660,2877
158,47284,2882
159,47908,2887
160,48532,2894
161,49156,2904
162,49780,2912
163,50404,2914
