hydropower_Ak,irrigation,environment,floodcontrol,hydropower_Kp,Name
2713.81686,0.814202871,0.794520548,0,509.7038042,Other solutions
2569.749092,0.901522886,0.791780822,0,476.6540314,Other solutions
2687.693138,0.861261612,0.791780822,0,501.8217535,Other solutions
2685.816595,0.850660991,0.791780822,0,503.5509468,Other solutions
2719.018119,0.837089115,0.791780822,0,508.4597674,Other solutions
2759.210991,0.783204186,0.791780822,0,518.762631,Other solutions
2750.833331,0.821599045,0.783561644,0,515.0324279,Other solutions
2745.070655,0.800395538,0.783561644,0,516.4657977,Other solutions
2804.035348,0.780926085,0.783561644,0,528.0755633,Other solutions
2628.257176,0.900493755,0.780821918,0,488.4588777,Other solutions
2743.299373,0.859497122,0.780821918,0,514.6610241,Other solutions
2752.55521,0.854598343,0.780821918,0,514.389069,Other solutions
2839.889136,0.804225559,0.775342466,0,536.6271578,Other solutions
2672.770089,0.903871361,0.77260274,0,497.040092,Other solutions
2802.883262,0.851718371,0.77260274,0,526.6242816,Other solutions
2843.071385,0.800312946,0.77260274,0,534.9408679,Other solutions
2840.674705,0.78427205,0.77260274,0,535.1622971,Other solutions
2848.738821,0.858730385,0.764383562,0,535.0442203,Other solutions
2870.079669,0.800628928,0.764383562,0,542.7520737,Other solutions
2873.864458,0.734324606,0.764383562,0,541.8129544,Other solutions
2736.70715,0.901421686,0.761643836,0,509.9305375,Other solutions
2852.876615,0.866964643,0.761643836,0,534.591819,Other solutions
2938.340916,0.771321142,0.753424658,0,554.8598545,Other solutions
2785.211371,0.90142863,0.750684932,0,519.4536218,Other solutions
2901.020255,0.855542973,0.750684932,0,545.433619,Other solutions
2934.022723,0.828912087,0.750684932,0,552.4898635,Other solutions
2956.956294,0.852256138,0.745205479,0,554.9451223,Other solutions
2840.538508,0.900457758,0.742465753,0,529.9451698,Other solutions
2834.05032,0.900198698,0.742465753,0,530.9283259,Other solutions
2948.470248,0.859358487,0.742465753,0,556.0272467,Other solutions
2980.003097,0.817170351,0.742465753,0,563.9385152,Other solutions
2987.450024,0.796073583,0.742465753,0,564.1612313,Other solutions
3034.827372,0.806800004,0.734246575,0,573.4533128,Other solutions
3024.24816,0.800499389,0.734246575,0,574.1320875,Other solutions
2894.150696,0.902173265,0.731506849,0,539.9799854,Other solutions
2890.209238,0.900700184,0.731506849,0,540.2644867,Other solutions
3005.660329,0.868457115,0.731506849,0,564.8726514,Other solutions
3022.477582,0.734499489,0.731506849,0,575.3407569,Other solutions
3021.041852,0.71401453,0.731506849,0,575.5169386,Other solutions
3045.161107,0.719568517,0.723287671,0,579.5289471,Other solutions
2961.070698,0.9045177,0.720547945,0,554.6476145,Other solutions
2954.717646,0.900271739,0.720547945,0,555.5396705,Other solutions
3045.050474,0.870362113,0.720547945,0,575.402895,Other solutions
3055.756979,0.861823259,0.720547945,0,574.8021824,Other solutions
3068.259087,0.807116433,0.720547945,0,579.4715093,Other solutions
3100.416043,0.85806869,0.715068493,0,584.3258465,Other solutions
3098.144882,0.658208763,0.715068493,0,590.9778716,Other solutions
3005.793392,0.902748097,0.712328767,0,563.8770573,Other solutions
3108.747311,0.800691874,0.712328767,0,588.0107741,Other solutions
3119.077085,0.798254101,0.712328767,0,590.1136239,Other solutions
